wavelength(nm)	 TX(1-1)	 Angle(1-1)	wavelength(nm).1	TX(1-2)	 Angle(1-2)	TX(1-3)	 Angle(1-3)	 TX(1-4)	 Angle(1-4)	TX(1-5)	 Angle(1-5)	 TX(1-6)	 Angle(1-6)	TX(1-7)	 Angle(1-7)	  TX(1-8)	 Angle(1-8)
1550.79	0.807497	482.263															
1550.69	0.827836	483.347															
1550.59	0.848342	484.431															
1550.49	0.869003	485.515															
1550.39	0.88981	486.599															
1550.29	0.910752	487.683															
1550.19	0.931816	488.767															
1550.09	0.952992	489.852															
1549.99	0.96871	490.936															
1549.89	0.947022	492.02															
1549.79	0.925459	493.104															
1549.69	0.904032	494.188															
1549.59	0.882754	495.273															
1549.49	0.861635	496.357															
1549.39	0.840688	497.441															
1549.29	0.819921	498.525															
1549.19	0.799345	499.61															
1549.09	0.778969	500.694															
1548.99	0.758802	501.778															
1548.89	0.738852	502.863															
1548.79	0.719127	503.947															
1548.69	0.699634	505.031															
1548.59	0.680381	506.116															
1548.49	0.661374	507.2															
1548.39	0.642619	508.284															
1548.29	0.624122	509.368															
1548.19	0.605888	510.453															
1548.09	0.587923	511.537															
1547.99	0.57023	512.621															
1547.89	0.552815	513.706															
1547.79	0.535681	514.79															
1547.69	0.518833	515.874															
1547.59	0.502272	516.959															
1547.49	0.486003	518.043															
1547.39	0.470027	519.127															
1547.29	0.454348	520.211															
1547.19	0.438968	521.296															
1547.09	0.423888	522.38															
1546.99	0.40911	523.464															
1546.89	0.394635	524.549															
1546.79	0.380464	525.633															
1546.69	0.366599	526.717															
1546.59	0.35304	527.802															
1546.49	0.339786	528.886															
1546.39	0.326839	529.97															
1546.29	0.314197	531.054															
1546.19	0.301861	532.139															
1546.09	0.28983	533.223															
1545.99	0.278103	534.307															
1545.89	0.26668	535.392															
1545.79	0.255558	536.476															
1545.69	0.244736	537.56															
1545.6	0.234213	538.645															
1545.5	0.223987	539.729															
1545.4	0.214056	540.813															
1545.3	0.204417	541.897															
1545.2	0.195068	542.982															
1545.1	0.186006	544.066															
1545.0	0.177076	545.15															
1544.9	0.161231	546.234															
1544.8	0.146651	547.319															
1544.7	0.133248	548.403															
1544.6	0.120938	549.487															
1544.5	0.109643	550.571															
1544.4	0.0992885	551.655															
1544.3	0.089806	552.739															
1544.2	0.0811307	553.824															
1544.1	0.0732023	554.908															
1544.0	0.0659642	555.992															
1543.9	0.0593637	557.076															
1543.81	0.0533514	558.16															
1543.71	0.0478814	559.244															
1543.61	0.0429107	560.328															
1543.51	0.0383994	561.413															
1543.41	0.0343103	562.497															
1543.31	0.0306087	563.581															
1543.21	0.0272625	564.665															
1543.11	0.0242419	565.749															
1543.01	0.021519	566.833															
1542.91	0.0190683	567.917															
1542.81	0.016866	569.002															
1542.71	0.0148899	570.086															
1542.61	0.0131199	571.17															
1542.52	0.0115371	572.254															
1542.42	0.0101243	573.338															
1542.32	0.00886546	574.422															
1542.22	0.00774595	575.506															
1542.12	0.00675231	576.591															
1542.02	0.00587217	577.675															
1541.92	0.00509421	578.759															
1541.82	0.00440806	579.843															
1541.72	0.00380427	580.927															
1541.62	0.0032742	582.011															
1541.52	0.00280999	583.096															
1541.43	0.00240447	584.18															
1541.33	0.00205118	585.264															
1541.23	0.00174421	586.348															
1541.13	0.00147827	587.432															
1541.03	0.00124856	588.516															
1540.93	0.00105075	589.601															
1540.83	0.000880965	590.685															
1540.73	0.000735728	591.769															
1540.63	0.000611926	592.853															
1540.54	0.000506786	593.937															
1540.44	0.000417839	595.021															
1540.34	0.000342894	596.106															
1540.24	0.000280015	597.19															
1540.14	0.000227493	598.274															
1540.04	0.000183826	599.358															
1539.94	0.000155656	600.478															
1539.84	0.000136458	601.625															
1539.74	0.000119415	602.771															
1539.65	0.000104308	603.917															
1539.55	9.0938e-05	605.063															
1539.45	7.91247e-05	606.209															
1539.35	6.87052e-05	607.355															
1539.25	5.95316e-05	608.501															
1539.15	5.14702e-05	609.647															
1539.05	4.44002e-05	610.793															
1538.95	3.82123e-05	611.939															
1538.86	3.28081e-05	613.085															
1538.76	2.80986e-05	614.231															
1538.66	2.40041e-05	615.377															
1538.56	2.04527e-05	616.523															
1538.46	1.73799e-05	617.669															
1538.36	1.47279e-05	618.815															
1538.26	1.24451e-05	619.961															
1538.17	1.04854e-05	621.107															
1538.07	8.8076e-06	622.254															
1537.97	7.37533e-06	623.4															
1537.87	6.15618e-06	624.546															
1537.77	5.12155e-06	625.693															
1537.67	4.24621e-06	626.839															
1537.57	3.50799e-06	627.986															
1537.48	2.88744e-06	629.132															
1537.38	2.36755e-06	630.279															
1537.28	1.93353e-06	631.425															
1537.18	1.57249e-06	632.572															
1537.08	1.27329e-06	633.719															
1536.98	1.02632e-06	634.865															
1536.89	8.23279e-07	636.011															
1536.79	6.57082e-07	637.158															
1536.69	5.21653e-07	638.304															
1536.59	4.1182e-07	639.45															
1536.49	3.23193e-07	640.597															
1536.39	2.52057e-07	641.743															
1536.29	1.9528e-07	642.889															
1536.2	1.50236e-07	644.035															
1536.1	1.14726e-07	645.18															
1536.0	8.69219e-08	646.326															
1535.9	6.53071e-08	647.472															
1535.8	4.86333e-08	648.618															
1535.71	3.58758e-08	649.763															
1535.61	2.61998e-08	650.909															
1535.51	1.89296e-08	652.055															
1535.41	1.35211e-08	653.201															
1535.31	9.54062e-09	654.347															
1535.21	6.64441e-09	655.493															
1535.12	4.56289e-09	656.639															
1535.02	3.08653e-09	657.786															
1534.92	5.27826e-09	658.882															
1534.82	1.05473e-08	659.966															
1534.72	2.01114e-08	661.051															
1534.62	3.68081e-08	662.135															
1534.53	6.49735e-08	663.219															
1534.43	1.11063e-07	664.303															
1534.33	1.84466e-07	665.388															
1534.23	2.98561e-07	666.472															
1534.13	4.72054e-07	667.556															
1534.04	7.30672e-07	668.64															
1533.94	1.10926e-06	669.724															
1533.84	1.65437e-06	670.808															
1533.74	2.42742e-06	671.892															
1533.64	3.50849e-06	672.976															
1533.55	5.00087e-06	674.06															
1533.45	7.03663e-06	675.144															
1533.35	9.78286e-06	676.228															
1533.25	1.34494e-05	677.312															
1533.15	1.82978e-05	678.396															
1533.06	2.46512e-05	679.48															
1532.96	3.29069e-05	680.564															
1532.86	4.35496e-05	681.648															
1532.76	5.71675e-05	682.732															
1532.66	7.44703e-05	683.816															
1532.57	9.631e-05	684.9															
1532.47	0.000123704	685.984															
1532.37	0.000157862	687.068															
1532.27	0.000200216	688.152															
1532.18	0.000252453	689.236															
1532.08	0.000316554	690.32															
1531.98	0.000394838	691.403															
1531.88	0.000490005	692.487															
1531.78	0.000605194	693.571															
1531.69	0.00074404	694.655															
1531.59	0.000910736	695.739															
1531.49	0.00111011	696.823															
1531.39	0.00134772	697.907															
1531.3	0.00162989	698.991															
1531.2	0.00196389	700.074															
1531.1	0.00235798	701.158															
1531.0	0.00282154	702.242															
1530.91	0.00336523	703.326															
1530.81	0.00400111	704.41															
1530.71	0.0047428	705.494															
1530.61	0.00560566	706.577															
1530.51	0.00660697	707.661															
1530.42	0.00776617	708.745															
1530.32	0.00910502	709.829															
1530.22	0.0106479	710.913															
1530.12	0.0124222	711.997															
1530.03	0.0144582	713.081															
1529.93	0.0162451	714.165															
1529.83	0.0179935	715.249															
1529.73	0.0198958	716.333															
1529.64	0.0219626	717.417															
1529.54	0.0242049	718.501															
1529.44	0.0266344	719.585															
1529.34	0.0292631	720.669															
1529.25	0.0321036	721.753															
1529.15	0.0351694	722.837															
1529.05	0.0384741	723.921															
1528.95	0.0420323	725.005															
1528.86	0.045859	726.089															
1528.76	0.04997	727.173															
1528.66	0.0543816	728.257															
1528.57	0.0591108	729.341															
1528.47	0.0641754	730.425															
1528.37	0.0695938	731.51															
1528.27	0.0753852	732.594															
1528.18	0.0815694	733.678															
1528.08	0.0881671	734.762															
1527.98	0.0951998	735.846															
1527.88	0.10269	736.93															
1527.79	0.110659	738.014															
1527.69	0.119133	739.098															
1527.59	0.128136	740.182															
1527.49	0.137692	741.267															
1527.4	0.147829	742.351															
1527.3	0.158574	743.435															
1527.2	0.169955	744.519															
1527.11	0.182001	745.603															
1527.01	0.194742	746.687															
1526.91	0.20821	747.771															
1526.81	0.222435	748.856															
1526.72	0.237451	749.94															
1526.62	0.253292	751.024															
1526.52	0.269993	752.108															
1526.43	0.287589	753.192															
1526.33	0.306119	754.276															
1526.23	0.325619	755.36															
1526.14	0.346128	756.445															
1526.04	0.367688	757.529															
1525.94	0.390339	758.613															
1525.84	0.414123	759.697															
1525.75	0.439083	760.781															
1525.65	0.465265	761.865															
1525.55	0.492713	762.95															
1525.46	0.521474	764.034															
1525.36	0.551596	765.118															
1525.26	0.583127	766.202															
1525.17	0.616118	767.286															
1525.07	0.650618	768.37															
1524.97	0.677479	769.454															
1524.87	0.682759	770.539															
1524.78	0.68779	771.623															
1524.68	0.692566	772.707															
1524.58	0.697084	773.791															
1524.49	0.70134	774.875															
1524.39	0.705329	775.959															
1524.29	0.709049	777.043															
1524.2	0.712496	778.127															
1524.1	0.715667	779.212															
1524.0	0.71856	780.296															
1523.91	0.721171	781.38															
1523.81	0.723499	782.464															
1523.71	0.725541	783.548															
1523.62	0.727297	784.632															
1523.52	0.728764	785.716															
1523.42	0.729942	786.8															
1523.33	0.730829	787.884															
1523.23	0.731425	788.968															
1523.13	0.73173	790.052															
1523.04	0.731745	791.136															
1522.94	0.731468	792.22															
1522.84	0.730902	793.304															
1522.75	0.730046	794.388															
1522.65	0.728903	795.473															
1522.55	0.727473	796.557															
1522.46	0.725758	797.641															
1522.36	0.72376	798.725															
1522.26	0.721482	799.809															
1522.17	0.718925	800.893															
1522.07	0.716092	801.977															
1521.97	0.712987	803.061															
1521.88	0.709612	804.145															
1521.78	0.705971	805.229															
1521.68	0.702067	806.313															
1521.59	0.697903	807.397															
1521.49	0.693484	808.481															
1521.39	0.688813	809.565															
1521.3	0.683895	810.649															
1521.2	0.678734	811.734															
1521.11	0.673334	812.818															
1521.01	0.6677	813.902															
1520.91	0.661837	814.986															
1520.82	0.65575	816.07															
1520.72	0.649444	817.154															
1520.62	0.642923	818.238															
1520.53	0.636194	819.322															
1520.43	0.629262	820.406															
1520.33	0.622131	821.49															
1520.24	0.614809	822.574															
1520.14	0.607301	823.659															
1520.05	0.599613	824.743															
1519.95	0.577535	825.827															
1519.85	0.543922	826.911															
1519.76	0.51196	827.995															
1519.66	0.481582	829.079															
1519.56	0.452726	830.163															
1519.47	0.425329	831.247															
1519.37	0.399333	832.331															
1519.28	0.374679	833.415															
1519.18	0.351312	834.499															
1519.08	0.329176	835.583															
1518.99	0.30822	836.667															
1518.89	0.288393	837.751															
1518.8	0.269644	838.835															
1518.7	0.251927	839.919															
1518.6	0.235195	841.003															
1518.51	0.219403	842.087															
1518.41	0.20451	843.171															
1518.31	0.190473	844.255															
1518.22	0.177252	845.339															
1518.12	0.164808	846.423															
1518.03	0.153105	847.507															
1517.93	0.142106	848.591															
1517.83	0.131776	849.675															
1517.74	0.122084	850.759															
1517.64	0.112996	851.843															
1517.55	0.104482	852.927															
1517.45	0.0965123	854.011															
1517.35	0.0890586	855.095															
1517.26	0.0820935	856.179															
1517.16	0.075591	857.263															
1517.07	0.069526	858.347															
1516.97	0.0638744	859.431															
1516.88	0.0586134	860.515															
1516.78	0.0537207	861.599															
1516.68	0.0491754	862.683															
1516.59	0.0449574	863.767															
1516.49	0.0410473	864.851															
1516.4	0.0374268	865.935															
1516.3	0.0340784	867.019															
1516.2	0.0309853	868.103															
1516.11	0.0281317	869.187															
1516.01	0.0255023	870.271															
1515.92	0.0230827	871.355															
1515.82	0.0208592	872.439															
1515.73	0.0188188	873.523															
1515.63	0.0169491	874.607															
1515.53	0.0152384	875.69															
1515.44	0.0136755	876.774															
1515.34	0.0122501	877.858															
1515.25	0.0109521	878.942															
1515.15	0.00977213	880.026															
1515.06	0.00870139	881.11															
1514.96	0.00758284	882.194															
1514.86	0.00641394	883.279															
1514.77	0.00541018	884.363															
1514.67	0.00455037	885.447															
1514.58	0.00381577	886.531															
1514.48	0.00318982	887.615															
1514.39	0.00265794	888.699															
1514.29	0.0022073	889.784															
1514.2	0.00182664	890.868															
1514.1	0.00150613	891.952															
1514.0	0.00123712	893.036															
1513.91	0.00101213	894.12															
1513.81	0.000824623	895.205															
1513.72	0.000668941	896.289															
1513.62	0.00054019	897.373															
1513.53	0.000434147	898.457															
1513.43	0.000347184	899.541															
1513.34	0.00027619	900.626															
1513.24	0.000218508	901.71															
1513.15	0.000171874	902.794															
1513.05	0.000134372	903.878															
1512.95	0.00010438	904.963															
1512.86	8.0534e-05	906.047															
1512.76	6.16918e-05	907.131															
1512.67	4.69009e-05	908.215															
1512.57	3.53704e-05	909.3															
1512.48	2.64477e-05	910.384															
1512.38	1.9597e-05	911.468															
1512.29	1.43809e-05	912.553															
1512.19	1.04446e-05	913.637															
1512.1	7.50223e-06	914.722															
1512.0	5.32523e-06	915.806															
1511.91	3.73206e-06	916.891															
1511.81	2.57985e-06	917.975															
1511.72	1.75708e-06	919.059															
1511.62	1.17761e-06	920.144															
1511.53	7.75564e-07	921.229															
1511.43	5.01126e-07	922.313															
1511.34	3.17104e-07	923.398															
1511.24	1.961e-07	924.483															
1511.14	1.18232e-07	925.567															
1511.05	6.93029e-08	926.652															
1510.95	3.9364900000000003e-08	927.737															
1510.86	2.15834e-08	928.822															
1510.76	1.13703e-08	929.908															
1510.67	5.72311e-09	930.993															
1510.57	2.73355e-09	932.079															
1510.48	1.22847e-09	933.164															
1510.38	5.13912e-10	934.25															
1510.29	1.97387e-10	935.337															
1510.19	6.83587e-11	936.424															
1510.1	2.08314e-11	937.512															
1510.0	5.3997e-12	938.601															
1509.91	1.41075e-11	939.961															
1509.81	3.67304e-11	941.335															
1509.72	8.7699e-11	942.711															
1509.62	1.94781e-10	944.089															
1509.53	4.06857e-10	945.468															
1509.43	8.06157e-10	946.848															
1509.34	1.52571e-09	948.23															
1509.24	2.77352e-09	949.612															
1509.15	4.8652e-09	950.994															
1509.05	8.267e-09	952.377															
1508.96	1.36516e-08	953.76															
1508.86	2.19689e-08	955.144															
1508.77	3.45345e-08	956.528															
1508.67	5.31393e-08	957.911															
1508.58	8.01829e-08	959.295															
1508.49	1.18835e-07	960.678															
1508.39	1.73231e-07	962.061															
1508.3	2.48704e-07	963.444															
1508.2	3.52063e-07	964.826															
1508.11	4.91928e-07	966.207															
1508.01	6.79135e-07	967.588															
1507.92	9.27218e-07	968.968															
1507.82	1.253e-06	970.347															
1507.73	1.67733e-06	971.725															
1507.63	2.22596e-06	973.103															
1507.54	2.93063e-06	974.479															
1507.44	3.83045e-06	975.855															
1507.35	4.97359e-06	977.23															
1507.25	6.41926e-06	978.604															
1507.16	8.24032e-06	979.978															
1507.06	1.05263e-05	981.351															
1506.97	1.33872e-05	982.725															
1506.88	1.69577e-05	984.098															
1506.78	2.14026e-05	985.471															
1506.69	2.69229e-05	986.844															
1506.59	3.37626e-05	988.218															
1506.5	4.2217e-05	989.593															
1506.4	5.26409e-05	990.968															
1506.31	6.54585e-05	992.345															
1506.21	8.11729e-05	993.723															
1506.12	0.000100376	995.102															
1506.02	0.000123758	996.482															
1505.93	0.000152116	997.865															
1505.84	0.000186357	999.248															
1505.74	0.000227507	1000.63															
1505.65	0.000276703	1002.02															
1505.55	0.000335188	1003.41															
1505.46	0.000404297	1004.8															
1505.36	0.000485434	1006.19															
1505.27	0.00058004	1007.59															
1505.17	0.000689547	1008.98															
1505.08	0.000815329	1010.38															
1504.99	0.000960175	1011.73															
1504.89	0.00113535	1012.81															
1504.8	0.00133763	1013.89															
1504.7	0.00157046	1014.98															
1504.61	0.00183767	1016.06															
1504.51	0.00214344	1017.15															
1504.42	0.00249237	1018.23															
1504.32	0.00288948	1019.32															
1504.23	0.00334028	1020.4															
1504.14	0.00385075	1021.48															
1504.04	0.00442743	1022.57															
1503.95	0.00507741	1023.65															
1503.85	0.00580839	1024.74															
1503.76	0.00662871	1025.82															
1503.67	0.00754742	1026.9															
1503.57	0.00857427	1027.99															
1503.48	0.00971978	1029.07															
1503.38	0.0109953	1030.16															
1503.29	0.0124131	1031.24															
1503.19	0.0139863	1032.32															
1503.1	0.015729	1033.41															
1503.01	0.0176563	1034.49															
1502.91	0.0197845	1035.58															
1502.82	0.0221309	1036.66															
1502.72	0.0247141	1037.74															
1502.63	0.0275541	1038.83															
1502.54	0.0306718	1039.91															
1502.44	0.0340901	1041.0															
1502.35	0.037833	1042.08															
1502.25	0.041926	1043.16															
1502.16	0.0463966	1044.25															
1502.07	0.0512738	1045.33															
1501.97	0.0565883	1046.42															
1501.88	0.062373	1047.5															
1501.78	0.0686624	1048.58															
1501.69	0.0754936	1049.67															
1501.6	0.0829053	1050.75															
1501.5	0.090939	1051.84															
1501.41	0.0996384	1052.92															
1501.31	0.109049	1054.0															
1501.22	0.119221	1055.09															
1501.13	0.130205	1056.17															
1501.03	0.142056	1057.26															
1500.94	0.15483	1058.34															
1500.84	0.168589	1059.43															
1500.75	0.183397	1060.51															
1500.66	0.19932	1061.59															
1500.56	0.21643	1062.68															
1500.47	0.2348	1063.76															
1500.38	0.254509	1064.85															
1500.28	0.27564	1065.93															
1500.19	0.298278	1067.01															
1500.09	0.322516	1068.1															
