1572.74 0.639291 2.17222 0.879145 -79.3836 0.787396 -80.9546 0.702605 3.6995 0.62928 2.12848 0.561515 -76.5803 0.561515 -76.5803 0.502914 -78.1513 1597.23 0.030571 5.8693
1571.71 0.665384 2.31912 0.888772 -82.3943 0.803887 -83.9653 0.724564 3.85651 0.655363 2.28547 0.590695 -79.5387 0.590695 -79.5387 0.534279 -81.1097 1597.13 0.0310818 6.20153
1570.68 0.691771 2.4675 0.899047 -85.405 0.820826 -86.9761 0.747106 4.01353 0.682104 2.44247 0.620843 -82.4971 0.620843 -82.4971 0.566826 -84.0682 1597.02 0.0316002 6.53375
1569.65 0.716867 2.61738 0.908232 -88.4156 0.836612 -89.9866 0.768467 4.17074 0.707869 2.59969 0.65021 -85.4553 0.65021 -85.4553 0.598937 -87.0264 1596.91 0.032126 6.86598
1568.63 0.738916 2.76881 0.914588 -91.4258 0.849597 -92.9969 0.78677 4.32836 0.730862 2.75732 0.676816 -88.413 0.676816 -88.413 0.628721 -89.984 1596.81 0.0326595 7.1982
1567.6 0.761059 2.92134 0.921557 -94.4361 0.862916 -96.0071 0.805434 4.48598 0.754182 2.91496 0.703943 -91.3707 0.703943 -91.3707 0.659149 -92.9417 1596.7 0.0332007 7.53043
1566.58 0.783351 3.07489 0.929156 -97.4464 0.876583 -99.0174 0.824469 4.64359 0.777819 3.0726 0.731577 -94.3283 0.731577 -94.3283 0.690183 -95.8993 1596.59 0.0337497 7.86266
1565.56 0.805846 3.22934 0.937401 -100.457 0.890613 -102.028 0.843888 4.80121 0.801768 3.23023 0.759704 -97.286 0.759704 -97.286 0.721785 -98.857 1596.49 0.0343066 8.19488
1564.54 0.826216 3.38471 0.943949 -103.467 0.902719 -105.038 0.861045 4.95896 0.823436 3.38801 0.785421 -100.244 0.785421 -100.244 0.751115 -101.814 1596.38 0.0348716 8.52711
1563.52 0.843826 3.54093 0.948285 -106.477 0.91235 -108.048 0.875241 5.11688 0.842074 3.54597 0.807823 -103.201 0.807823 -103.201 0.777212 -104.772 1596.28 0.0354446 8.85933
1562.5 0.861513 3.69776 0.953244 -109.487 0.922253 -111.058 0.889626 5.2748 0.860703 3.70392 0.830253 -106.158 0.830253 -106.158 0.80326 -107.729 1596.17 0.0360258 9.19156
1561.48 0.879311 3.85512 0.958839 -112.497 0.932437 -114.068 0.904206 5.43271 0.879308 3.86187 0.852686 -109.115 0.852686 -109.115 0.829206 -110.686 1596.06 0.0366154 9.52378
1560.47 0.897247 4.01292 0.965081 -115.507 0.942912 -117.078 0.918988 5.59063 0.897877 4.01982 0.875096 -112.073 0.875096 -112.073 0.854994 -113.644 1595.96 0.0372133 9.85601
1559.45 0.912181 4.17131 0.969168 -118.517 0.950911 -120.088 0.930707 5.74868 0.913175 4.17787 0.893772 -115.03 0.893772 -115.03 0.876936 -116.601 1595.85 0.0378198 10.1882
1558.44 0.924412 4.33018 0.971476 -121.527 0.956774 -123.098 0.939719 5.90685 0.925498 4.33601 0.909 -117.987 0.909 -117.987 0.895244 -119.558 1595.74 0.0384348 10.5205
1557.43 0.93659 4.48925 0.974415 -124.536 0.962868 -126.107 0.948798 6.06502 0.937554 4.49416 0.923854 -120.944 0.923854 -120.944 0.912906 -122.515 1595.64 0.0390586 10.8527
1556.42 0.948698 4.64843 0.977993 -127.546 0.969198 -129.117 0.957947 6.22319 0.949333 4.6523 0.938312 -123.901 0.938312 -123.901 0.929875 -125.472 1595.53 0.0396911 11.1849
